qimei36,exp_id,pg_article_id,start_article_id,is_imgtext_detail_rcmd,chl_id
0167af07662240b7fd1f497b00001a914718,8406962,20220621A03G7P00,20220620A0C0W400,1,news_news_top
0167af07662240b7fd1f497b00001a914718,8406962,20220621A03G7P00,20220620A0C0W400,1,news_news_top
0167af07662240b7fd1f497b00001a914718,8406962,20220621A03G7P00,20220620A0C0W400,1,news_news_top
0a7643745b4ff57c7baa330310001c716416,8406962,20220619A012GE00,20220621A015AH00,1,news_news_top
0a7643745b4ff57c7baa330310001c716416,8406962,20220619A012GE00,20220621A015AH00,1,news_news_top
0a7643745b4ff57c7baa330310001c716416,8406962,20220619A012GE00,20220621A015AH00,1,news_news_top
0b6ef27ef0aade44487bd659000019e15c16,8406962,20220620A09F9D00,20220621A042IM00,1,news_news_top
0b6ef27ef0aade44487bd659000019e15c16,8406962,20220620A09F9D00,20220621A042IM00,1,news_news_top
0b6ef27ef0aade44487bd659000019e15c16,8406962,20220620A09F9D00,20220621A042IM00,1,news_news_top
0b6ef27ef0aade44487bd659000019e15c16,8406962,20220620A09F9D00,20220621A042IM00,1,news_news_top
0b6ef27ef0aade44487bd659000019e15c16,8406962,20220620A09F9D00,20220621A042IM00,1,news_news_top
0b6ef27ef0aade44487bd659000019e15c16,8406962,20220620A09F9D00,20220621A042IM00,1,news_news_top
0d8c6b290ee002291212d99410001b514910,8406962,20220621A01R4L00,20220620V02X6600,1,news_news_top
0d8c6b290ee002291212d99410001b514910,8406962,20220621A01R4L00,20220620V02X6600,1,news_news_top
0d8c6b290ee002291212d99410001b514910,8406962,20220620V0C9C300,20220620V02X6600,1,news_news_top
0d8c6b290ee002291212d99410001b514910,8406962,20220620V0C9C300,20220620V02X6600,1,news_news_top
0d8c6b290ee002291212d99410001b514910,8406962,20220621A01R4L00,20220620V02X6600,1,news_news_top
0d8c6b290ee002291212d99410001b514910,8406962,20220620V0C9C300,20220620V02X6600,1,news_news_top
0d8c6b290ee002291212d99410001b514910,8406962,20220620V0C9C300,20220620V02X6600,1,news_news_top
0d8c6b290ee002291212d99410001b514910,8406962,20220621A01R4L00,20220620V02X6600,1,news_news_top
0d8c6b290ee002291212d99410001b514910,8406962,20220620V0C9C300,20220620V02X6600,1,news_news_top
122f0e4ded679fbe67b7683810001d015719,8406962,20220620A09J4W00,20220621A03ORM00,1,news_news_top
122f0e4ded679fbe67b7683810001d015719,8406962,20220620A09J4W00,20220621A03ORM00,1,news_news_top
17463fbaf965f51dacd21835000016e14805,8406962,20220618A02I1400,20220620A01NI700,1,news_news_top
1d549f4a81f8b4a5b083e02010001a614910,8406962,20220618A092AB00,20220621A02TKV00,1,news_news_top
1d549f4a81f8b4a5b083e02010001a614910,8406962,20220618A092AB00,20220621A02TKV00,1,news_news_top
1d549f4a81f8b4a5b083e02010001a614910,8406962,20220618A092AB00,20220621A02TKV00,1,news_news_top
2bf8843f65f11dd5e9fad9c3000013014b17,8406962,20220621A0295B00,20220621A053DM00,1,news_news_top
2bf8843f65f11dd5e9fad9c3000013014b17,8406962,20220620A0C7D000,20220618A09WUR00,1,news_news_top
2bf8843f65f11dd5e9fad9c3000013014b17,8406962,20220620A0C7D000,20220618A09WUR00,1,news_news_top
2bf8843f65f11dd5e9fad9c3000013014b17,8406962,20220621A0295B00,20220621A053DM00,1,news_news_top
2bf8843f65f11dd5e9fad9c3000013014b17,8406962,20220620A0C7D000,20220618A09WUR00,1,news_news_top
2bf8843f65f11dd5e9fad9c3000013014b17,8406962,20220621A0295B00,20220621A053DM00,1,news_news_top
2bf8843f65f11dd5e9fad9c3000013014b17,8406962,20220620A0ARBK00,20220621A042IM00,1,news_news_top
2bf8843f65f11dd5e9fad9c3000013014b17,8406962,20220620A0C7D000,20220618A09WUR00,1,news_news_top
2bf8843f65f11dd5e9fad9c3000013014b17,8406962,20220620A0C7D000,20220618A09WUR00,1,news_news_top
2bf8843f65f11dd5e9fad9c3000013014b17,8406962,20220621A0295B00,20220621A053DM00,1,news_news_top
2bf8843f65f11dd5e9fad9c3000013014b17,8406962,20220620A0ARBK00,20220621A042IM00,1,news_news_top
