1294386,南美、菲律宾香蕉,1187,水果,,香蕉类,4.2,4.5,4.35,,,斤,2022-06-18 00:00:00,,138,,admin,,,
1294385,泰国香蕉,1187,水果,,香蕉类,8.6,6.7,7.65,,帝王蕉,斤,2022-06-18 00:00:00,,138,,admin,,,
1294384,哈密瓜,1187,水果,,甜瓜类,2.0,2.2,2.1,,,斤,2022-06-18 00:00:00,,138,,admin,,,
1294383,晓蜜25号,1187,水果,,甜瓜类,1.6,2.3,1.95,,,斤,2022-06-18 00:00:00,,138,,admin,,,
1294488,毛豆,1186,蔬菜,,,2.8,3.3,3.05,皖粤云川,,斤,2022-06-18 00:00:00,,138,,admin,,,
1294487,玉米,1186,蔬菜,,,1.4,1.6,1.5,川云冀,黏\甜,斤,2022-06-18 00:00:00,,138,,admin,,,
1294382,玉菇,1187,水果,,甜瓜类,2.5,2.8,2.65,,奶香蜜,斤,2022-06-18 00:00:00,,138,,admin,,,
1294466,心里美,1186,蔬菜,,,1.0,1.3,1.15,冀,泥\洗,斤,2022-06-18 00:00:00,,138,,admin,,,
1294465,卞萝卜,1186,蔬菜,,,0.8,1.0,0.9,冀,洗,斤,2022-06-18 00:00:00,,138,,admin,,,
1294464,青萝卜,1186,蔬菜,,,0.7,1.2,0.95,鲁,,斤,2022-06-18 00:00:00,,138,,admin,,,
1294486,花生,1186,蔬菜,,,4.5,6.5,5.5,粤,,斤,2022-06-18 00:00:00,,138,,admin,,,
1294485,苦瓜,1186,蔬菜,,,2.0,2.5,2.25,冀鲁,,斤,2022-06-18 00:00:00,,138,,admin,,,
1294484,丝瓜,1186,蔬菜,,,2.0,3.5,2.75,冀鲁,长\短,斤,2022-06-18 00:00:00,,138,,admin,,,
1294510,散菜花,1186,蔬菜,,,0.8,1.6,1.2,冀,散装,斤,2022-06-18 00:00:00,,138,,admin,,,
1294509,绿菜花,1186,蔬菜,,,1.2,1.8,1.5,苏豫冀,,斤,2022-06-18 00:00:00,,138,,admin,,,
1294483,西葫芦,1186,蔬菜,,,0.7,1.2,0.95,鲁冀,袋\箱,斤,2022-06-18 00:00:00,,138,,admin,,,
1294482,佛手瓜,1186,蔬菜,,,2.8,3.2,3.0,鲁,,斤,2022-06-18 00:00:00,,138,,admin,,,
1294481,瓠子,1186,蔬菜,,,0.7,1.4,1.05,京,,斤,2022-06-18 00:00:00,,138,,admin,,,
1294480,贝贝南瓜,1186,蔬菜,,,1.5,1.8,1.65,鲁,,斤,2022-06-18 00:00:00,,138,,admin,,,
1294381,网纹,1187,水果,,甜瓜类,3.3,3.8,3.55,,,斤,2022-06-18 00:00:00,,138,,admin,,,
1294380,久红瑞,1187,水果,,甜瓜类,1.6,2.0,1.8,,,斤,2022-06-18 00:00:00,,138,,admin,,,
1294348,红灯,1187,水果,,樱桃类,8.0,16.0,12.0,,,斤,2022-06-18 00:00:00,,138,,admin,,,
1294507,黄豆芽,1186,蔬菜,,,0.85,0.9,0.88,,,斤,2022-06-18 00:00:00,,138,,admin,,,
1294379,羊角蜜,1187,水果,,甜瓜类,1.8,3.0,2.4,,六一,斤,2022-06-18 00:00:00,,138,,admin,,,
1294378,西州蜜,1187,水果,,甜瓜类,1.8,2.0,1.9,,,斤,2022-06-18 00:00:00,,138,,admin,,,
1294377,白糖罐,1187,水果,,甜瓜类,1.6,2.6,2.1,,24号,斤,2022-06-18 00:00:00,,138,,admin,,,
1294428,杨梅,1187,水果,1211,其他类,6.0,10.0,8.0,,,斤,2022-06-18 00:00:00,,138,,admin,,,
1294427,蓝莓,1187,水果,1211,其他类,14.0,45.0,29.5,,,斤,2022-06-18 00:00:00,,138,,admin,,,
1294426,火龙果,1187,水果,1211,其他类,5.0,8.0,6.5,,红,斤,2022-06-18 00:00:00,,138,,admin,,,
1294425,火龙果,1187,水果,1211,其他类,6.0,8.5,7.25,,白,斤,2022-06-18 00:00:00,,138,,admin,,,
1294424,木瓜,1187,水果,1211,其他类,4.0,4.5,4.25,,,斤,2022-06-18 00:00:00,,138,,admin,,,
1294506,番茄,1186,蔬菜,,,1.2,1.4,1.3,冀鲁,黑框,斤,2022-06-18 00:00:00,,138,,admin,,,
1294463,胡萝卜,1186,蔬菜,,,0.8,0.9,0.85,鲁,泥,斤,2022-06-18 00:00:00,,138,,admin,,,
1294462,胡萝卜,1186,蔬菜,,,0.8,1.1,0.95,鲁,洗,斤,2022-06-18 00:00:00,,138,,admin,,,
1294461,土豆,1186,蔬菜,,,0.9,1.2,1.05,鲁冀,,斤,2022-06-18 00:00:00,,138,,admin,,,
1294460,葱头,1186,蔬菜,,,1.0,1.2,1.1,鲁苏,黄,斤,2022-06-18 00:00:00,,138,,admin,,,
1294459,葱头,1186,蔬菜,,,0.7,1.0,0.85,鲁苏,红,斤,2022-06-18 00:00:00,,138,,admin,,,
1294458,山药,1186,蔬菜,,,4.5,5.0,4.75,冀,脆\麻,斤,2022-06-18 00:00:00,,138,,admin,,,
1294457,山药,1186,蔬菜,,,6.5,8.0,7.25,豫冀,铁棍,斤,2022-06-18 00:00:00,,138,,admin,,,
1294505,番茄,1186,蔬菜,,,1.3,1.6,1.45,冀,纸箱,斤,2022-06-18 00:00:00,,138,,admin,,,
1294479,金丝南瓜,1186,蔬菜,,,0.8,1.4,1.1,鲁冀,,斤,2022-06-18 00:00:00,,138,,admin,,,
1294478,板栗南瓜,1186,蔬菜,,,1.4,1.5,1.45,桂,,斤,2022-06-18 00:00:00,,138,,admin,,,
1294504,番茄,1186,蔬菜,,,1.5,1.8,1.65,冀,白框,斤,2022-06-18 00:00:00,,138,,admin,,,
1294503,黄瓜,1186,蔬菜,,,0.7,0.9,0.8,鲁辽,袋\箱,斤,2022-06-18 00:00:00,,138,,admin,,,
1294423,柠檬,1187,水果,1211,其他类,4.5,5.0,4.75,,,斤,2022-06-18 00:00:00,,138,,admin,,,
1294456,莲藕,1186,蔬菜,,,7.0,8.0,7.5,桂云川,泥\洗,斤,2022-06-18 00:00:00,,138,,admin,,,
1294347,水晶,1187,水果,,樱桃类,8.0,22.0,15.0,,,斤,2022-06-18 00:00:00,,138,,admin,,,
1294376,景甜甜瓜,1187,水果,,甜瓜类,1.4,2.5,1.95,,,斤,2022-06-18 00:00:00,,138,,admin,,,
1294455,红薯,1186,蔬菜,,,2.2,2.8,2.5,冀,济薯26,斤,2022-06-18 00:00:00,,138,,admin,,,
1294422,山楂,1187,水果,1211,其他类,3.0,6.0,4.5,,,斤,2022-06-18 00:00:00,,138,,admin,,,
1294502,黄瓜,1186,蔬菜,,,0.7,1.0,0.85,冀,鲜干花,斤,2022-06-18 00:00:00,,138,,admin,,,
1294375,花蕾甜瓜,1187,水果,,甜瓜类,2.2,3.5,2.85,,,斤,2022-06-18 00:00:00,,138,,admin,,,
1294454,红薯,1186,蔬菜,,,2.5,3.6,3.05,粤琼,西瓜红\烟薯,斤,2022-06-18 00:00:00,,138,,admin,,,
1294328,小里脊,1189,肉禽蛋,1205,猪肉类,14.0,15.0,14.5,,,斤,2022-06-18 00:00:00,,138,,admin,,,
1294327,梅花肉,1189,肉禽蛋,1205,猪肉类,11.0,12.0,11.5,,,斤,2022-06-18 00:00:00,,138,,admin,,,
1294501,小黄瓜,1186,蔬菜,,,1.8,4.0,2.9,辽鲁,旱\荷兰,斤,2022-06-18 00:00:00,,138,,admin,,,
1294477,南北瓜,1186,蔬菜,,,1.2,1.5,1.35,桂,,斤,2022-06-18 00:00:00,,138,,admin,,,
1294476,尖椒,1186,蔬菜,,,1.0,2.4,1.7,鲁蒙冀,袋\箱,斤,2022-06-18 00:00:00,,138,,admin,,,
1294448,大蒜,1186,蔬菜,,,2.0,2.6,2.3,豫苏鲁,老,斤,2022-06-18 00:00:00,,138,,admin,,,
1294326,纯瘦肉,1189,肉禽蛋,1205,猪肉类,10.0,11.0,10.5,,,斤,2022-06-18 00:00:00,,138,,admin,,,
1294325,护心肉,1189,肉禽蛋,1205,猪肉类,13.0,14.0,13.5,,,斤,2022-06-18 00:00:00,,138,,admin,,,
1294346,美国红,1187,水果,,樱桃类,13.0,25.0,19.0,,,斤,2022-06-18 00:00:00,,138,,admin,,,
1294345,美早,1187,水果,,樱桃类,10.0,50.0,30.0,,,斤,2022-06-18 00:00:00,,138,,admin,,,
1294344,雷尼,1187,水果,,樱桃类,10.0,20.0,15.0,,,斤,2022-06-18 00:00:00,,138,,admin,,,
1294343,布鲁克斯,1187,水果,,樱桃类,9.0,26.0,17.5,,,斤,2022-06-18 00:00:00,,138,,admin,,,
1294475,红尖椒,1186,蔬菜,,,2.0,3.5,2.75,鲁,,斤,2022-06-18 00:00:00,,138,,admin,,,
1294374,绿宝甜瓜,1187,水果,,甜瓜类,1.6,3.5,2.55,,,斤,2022-06-18 00:00:00,,138,,admin,,,
1294453,紫薯,1186,蔬菜,,,2.5,4.0,3.25,,,斤,2022-06-18 00:00:00,,138,,admin,,,
1294452,茭白,1186,蔬菜,,,2.8,3.2,3.0,浙,,斤,2022-06-18 00:00:00,,138,,admin,,,
1294474,美人椒,1186,蔬菜,,,6.0,7.0,6.5,鲁琼,,斤,2022-06-18 00:00:00,,138,,admin,,,
1294473,螺丝椒,1186,蔬菜,,,2.0,3.0,2.5,鲁冀,精选,斤,2022-06-18 00:00:00,,138,,admin,,,
